Type,Sample_id,participant,TOTAL_READS,PF_READS,READ_LENGTH,TOTAL_BASES,PF_BASES,Q20_BASES,PF_Q20_BASES,Q30_BASES,PF_Q30_BASES,Q20_EQUIVALENT_YIELD,PF_Q20_EQUIVALENT_YIELD
Tumor,356-DM,21BR002,215329242,215329242,137,29559264710,29559264710,29297377783,29297377783,28181413412,28181413412,43515099906,43515099906
Normal,356-DN,21BR002,200210588,200210588,137,27468789221,27468789221,27263580105,27263580105,26182691409,26182691409,40454716690,40454716690
Tumor,40_DM,03BR002,140498014,140498014,122,17250748633,17250748633,16965084651,16965084651,16017141922,16017141922,25104595236,25104595236
Normal,40_DN,03BR002,166000804,166000804,127,21238007886,21238007886,20769714063,20769714063,19636068487,19636068487,30798393149,30798393149
Tumor,41_DM,03BR004,186069172,186069172,130,24334517335,24334517335,24010374423,24010374423,22956847946,22956847946,35643056583,35643056583
Normal,41_DN,03BR004,166537946,166537946,127,21181469102,21181469102,20829849031,20829849031,19902190812,19902190812,30948504488,30948504488
Tumor,42_DM,03BR005,200917886,200917886,127,25646519896,25646519896,25197571703,25197571703,24039247353,24039247353,37432137305,37432137305
Normal,42_DN,03BR005,167257134,167257134,129,21711723230,21711723230,21482907484,21482907484,20544600656,20544600656,31862087628,31862087628
Tumor,43_DM,03BR010,201917866,201917866,130,26448104503,26448104503,26062834255,26062834255,24891838234,24891838234,38686157968,38686157968
Normal,43_DN,03BR010,156848346,156848346,124,19560950555,19560950555,19239463247,19239463247,18170795326,18170795326,28473544873,28473544873
Tumor,48_DM,05BR001,156085776,156085776,125,19525606409,19525606409,19214618104,19214618104,18040395829,18040395829,28377225662,28377225662
Normal,48_DN,05BR001,267105042,267105042,132,35309696689,35309696689,34643710686,34643710686,32782543289,32782543289,51341564232,51341564232
Tumor,49_DM,05BR003,175034696,175034696,133,23365630346,23365630346,23041327755,23041327755,21969568136,21969568136,34176150913,34176150913
Normal,49_DN,05BR003,163115196,163115196,125,20541136494,20541136494,20235951760,20235951760,19301781298,19301781298,30032179985,30032179985
Tumor,50_DM,05BR009,174020138,174020138,133,23173940560,23173940560,22842722667,22842722667,21812023106,21812023106,33905405598,33905405598
Normal,50_DN,05BR009,198823556,198823556,130,25991265637,25991265637,25745882379,25745882379,24557140454,24557140454,38138458244,38138458244
